group,item,condition,sentence,sentence_audio,image
GROUP_50_1,3,item3_univ_cumul,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_2.jpg
GROUP_50_1,4,item4_bare_distr,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_1.jpg
GROUP_50_3,4,item4_bare_cumul,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_2.jpg
GROUP_50_0,4,item4_univ_distr,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_1.jpg
GROUP_50_2,4,item4_univ_cumul,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_2.jpg
GROUP_50_3,5,item5_bare_distr,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_1.jpg
GROUP_50_2,5,item5_bare_cumul,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_2.jpg
GROUP_50_0,5,item5_univ_distr,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_1.jpg
GROUP_50_1,5,item5_univ_cumul,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_2.jpg
GROUP_50_2,6,item6_bare_distr,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_1.jpg
GROUP_50_3,6,item6_bare_cumul,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_2.jpg
GROUP_50_1,6,item6_univ_distr,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_1.jpg
GROUP_50_0,6,item6_univ_cumul,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_2.jpg
GROUP_50_1,7,item7_bare_distr,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_1.jpg
GROUP_50_0,7,item7_bare_cumul,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_2.jpg
GROUP_50_3,7,item7_univ_distr,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_1.jpg
GROUP_50_2,7,item7_univ_cumul,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_2.jpg
GROUP_50_0,8,item8_bare_distr,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_1.jpg
GROUP_50_1,8,item8_bare_cumul,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_2.jpg
GROUP_50_2,8,item8_univ_distr,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_1.jpg
GROUP_50_3,8,item8_univ_cumul,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_2.jpg
GROUP_50_3,9,item9_bare_distr,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_1.jpg
GROUP_50_2,9,item9_bare_cumul,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_2.jpg
GROUP_50_1,9,item9_univ_distr,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_1.jpg
GROUP_50_0,9,item9_univ_cumul,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_2.jpg
GROUP_50_2,10,item10_bare_distr,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_1.jpg
GROUP_50_3,10,item10_bare_cumul,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_2.jpg
GROUP_50_0,10,item10_univ_distr,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_1.jpg
GROUP_50_1,10,item10_univ_cumul,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_2.jpg
GROUP_50_1,11,item11_bare_distr,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_1.jpg
GROUP_50_0,11,item11_bare_cumul,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_2.jpg
GROUP_50_3,11,item11_univ_distr,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_1.jpg
GROUP_50_2,11,item11_univ_cumul,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_2.jpg
GROUP_50_0,12,item12_bare_distr,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_1.jpg
GROUP_50_1,12,item12_bare_cumul,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_2.jpg
GROUP_50_2,12,item12_univ_distr,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_1.jpg
GROUP_50_3,12,item12_univ_cumul,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_2.jpg
GROUP_50_3,13,item13_bare_distr,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_1.jpg
GROUP_50_2,13,item13_bare_cumul,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_2.jpg
GROUP_50_1,13,item13_univ_distr,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_1.jpg
GROUP_50_0,13,item13_univ_cumul,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_2.jpg
GROUP_50_2,14,item14_bare_distr,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_1.jpg
GROUP_50_3,14,item14_bare_cumul,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_2.jpg
GROUP_50_0,14,item14_univ_distr,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_1.jpg
GROUP_50_1,14,item14_univ_cumul,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_2.jpg
GROUP_50_1,15,item15_bare_distr,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_1.jpg
GROUP_50_0,15,item15_bare_cumul,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_2.jpg
GROUP_50_3,15,item15_univ_distr,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_1.jpg
GROUP_50_2,15,item15_univ_cumul,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_2.jpg
GROUP_50_0,16,item16_bare_distr,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_1.jpg
GROUP_50_1,16,item16_bare_cumul,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_2.jpg
GROUP_50_2,16,item16_univ_distr,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_1.jpg
GROUP_50_3,16,item16_univ_cumul,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_2.jpg
GROUP_51_0,1,item1_bare_distr,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_1.jpg
GROUP_51_1,1,item1_bare_cumul,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_2.jpg
GROUP_51_2,1,item1_univ_distr,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_1.jpg
GROUP_51_3,1,item1_univ_cumul,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_2.jpg
GROUP_51_3,2,item2_bare_distr,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_1.jpg
GROUP_51_0,2,item2_bare_cumul,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_2.jpg
GROUP_51_1,2,item2_univ_distr,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_1.jpg
GROUP_51_2,2,item2_univ_cumul,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_2.jpg
GROUP_51_2,3,item3_bare_distr,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_1.jpg
GROUP_51_3,3,item3_bare_cumul,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_2.jpg
GROUP_51_0,3,item3_univ_distr,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_1.jpg
GROUP_51_1,3,item3_univ_cumul,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_2.jpg
GROUP_51_1,4,item4_bare_distr,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_1.jpg
GROUP_51_2,4,item4_bare_cumul,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_2.jpg
GROUP_51_3,4,item4_univ_distr,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_1.jpg
GROUP_51_0,4,item4_univ_cumul,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_2.jpg
GROUP_51_3,5,item5_bare_distr,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_1.jpg
GROUP_51_2,5,item5_bare_cumul,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_2.jpg
GROUP_51_0,5,item5_univ_distr,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_1.jpg
GROUP_51_1,5,item5_univ_cumul,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_2.jpg
GROUP_51_2,6,item6_bare_distr,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_1.jpg
GROUP_51_3,6,item6_bare_cumul,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_2.jpg
GROUP_51_1,6,item6_univ_distr,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_1.jpg
GROUP_51_0,6,item6_univ_cumul,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_2.jpg
GROUP_51_1,7,item7_bare_distr,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_1.jpg
GROUP_51_0,7,item7_bare_cumul,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_2.jpg
GROUP_51_3,7,item7_univ_distr,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_1.jpg
GROUP_51_2,7,item7_univ_cumul,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_2.jpg
GROUP_51_0,8,item8_bare_distr,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_1.jpg
GROUP_51_1,8,item8_bare_cumul,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_2.jpg
GROUP_51_2,8,item8_univ_distr,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_1.jpg
GROUP_51_3,8,item8_univ_cumul,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_2.jpg
GROUP_51_3,9,item9_bare_distr,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_1.jpg
GROUP_51_2,9,item9_bare_cumul,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_2.jpg
GROUP_51_1,9,item9_univ_distr,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_1.jpg
GROUP_51_0,9,item9_univ_cumul,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_2.jpg
GROUP_51_2,10,item10_bare_distr,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_1.jpg
GROUP_51_3,10,item10_bare_cumul,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_2.jpg
GROUP_51_0,10,item10_univ_distr,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_1.jpg
GROUP_51_1,10,item10_univ_cumul,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_2.jpg
GROUP_51_1,11,item11_bare_distr,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_1.jpg
GROUP_51_0,11,item11_bare_cumul,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_2.jpg
GROUP_51_3,11,item11_univ_distr,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_1.jpg
GROUP_51_2,11,item11_univ_cumul,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_2.jpg
GROUP_51_0,12,item12_bare_distr,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_1.jpg
GROUP_51_1,12,item12_bare_cumul,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_2.jpg
GROUP_51_2,12,item12_univ_distr,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_1.jpg
GROUP_51_3,12,item12_univ_cumul,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_2.jpg
GROUP_51_3,13,item13_bare_distr,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_1.jpg
GROUP_51_2,13,item13_bare_cumul,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_2.jpg
GROUP_51_1,13,item13_univ_distr,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_1.jpg
GROUP_51_0,13,item13_univ_cumul,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_2.jpg
GROUP_51_2,14,item14_bare_distr,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_1.jpg
GROUP_51_3,14,item14_bare_cumul,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_2.jpg
GROUP_51_0,14,item14_univ_distr,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_1.jpg
GROUP_51_1,14,item14_univ_cumul,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_2.jpg
GROUP_51_1,15,item15_bare_distr,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_1.jpg
GROUP_51_0,15,item15_bare_cumul,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_2.jpg
GROUP_51_3,15,item15_univ_distr,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_1.jpg
GROUP_51_2,15,item15_univ_cumul,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_2.jpg
GROUP_51_0,16,item16_bare_distr,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_1.jpg
GROUP_51_1,16,item16_bare_cumul,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_2.jpg
GROUP_51_2,16,item16_univ_distr,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_1.jpg
GROUP_51_3,16,item16_univ_cumul,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_2.jpg
GROUP_52_0,1,item1_bare_distr,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_1.jpg
GROUP_52_1,1,item1_bare_cumul,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_2.jpg
GROUP_52_2,1,item1_univ_distr,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_1.jpg
GROUP_52_3,1,item1_univ_cumul,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_2.jpg
GROUP_52_3,2,item2_bare_distr,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_1.jpg
GROUP_52_2,2,item2_bare_cumul,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_2.jpg
GROUP_52_1,2,item2_univ_distr,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_1.jpg
GROUP_52_0,2,item2_univ_cumul,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_2.jpg
GROUP_52_1,3,item3_bare_distr,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_1.jpg
GROUP_52_3,3,item3_bare_cumul,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_2.jpg
GROUP_52_0,3,item3_univ_distr,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_1.jpg
GROUP_52_2,3,item3_univ_cumul,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_2.jpg
GROUP_52_2,4,item4_bare_distr,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_1.jpg
GROUP_52_0,4,item4_bare_cumul,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_2.jpg
GROUP_52_3,4,item4_univ_distr,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_1.jpg
GROUP_52_1,4,item4_univ_cumul,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_2.jpg
GROUP_52_3,5,item5_bare_distr,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_1.jpg
GROUP_52_2,5,item5_bare_cumul,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_2.jpg
GROUP_52_0,5,item5_univ_distr,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_1.jpg
GROUP_52_1,5,item5_univ_cumul,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_2.jpg
GROUP_52_2,6,item6_bare_distr,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_1.jpg
GROUP_52_3,6,item6_bare_cumul,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_2.jpg
GROUP_52_1,6,item6_univ_distr,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_1.jpg
GROUP_52_0,6,item6_univ_cumul,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_2.jpg
GROUP_52_1,7,item7_bare_distr,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_1.jpg
GROUP_52_0,7,item7_bare_cumul,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_2.jpg
GROUP_52_3,7,item7_univ_distr,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_1.jpg
GROUP_52_2,7,item7_univ_cumul,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_2.jpg
GROUP_52_0,8,item8_bare_distr,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_1.jpg
GROUP_52_1,8,item8_bare_cumul,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_2.jpg
GROUP_52_2,8,item8_univ_distr,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_1.jpg
GROUP_52_3,8,item8_univ_cumul,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_2.jpg
GROUP_52_3,9,item9_bare_distr,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_1.jpg
GROUP_52_2,9,item9_bare_cumul,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_2.jpg
GROUP_52_1,9,item9_univ_distr,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_1.jpg
GROUP_52_0,9,item9_univ_cumul,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_2.jpg
GROUP_52_2,10,item10_bare_distr,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_1.jpg
GROUP_52_3,10,item10_bare_cumul,Věta: Kluci viděli dva brouky.,item_9_a.mp3,brouci_2.jpg
GROUP_52_0,10,item10_univ_distr,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_1.jpg
GROUP_52_1,10,item10_univ_cumul,Věta: Každý kluk viděl dva brouky.,item_9_b.mp3,brouci_2.jpg
GROUP_52_1,11,item11_bare_distr,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_1.jpg
GROUP_52_0,11,item11_bare_cumul,Věta: Číšníci přinesli dva talíře s jídlem.,item_10_a.mp3,cisnici_2.jpg
GROUP_52_3,11,item11_univ_distr,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_1.jpg
GROUP_52_2,11,item11_univ_cumul,Věta: Každý číšník přinesl dva talíře s jídlem.,item_10_b.mp3,cisnici_2.jpg
GROUP_52_0,12,item12_bare_distr,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_1.jpg
GROUP_52_1,12,item12_bare_cumul,Věta: Kosmonauti navštívili dvě planety.,item_11_a.mp3,kosmonauti_2.jpg
GROUP_52_2,12,item12_univ_distr,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_1.jpg
GROUP_52_3,12,item12_univ_cumul,Věta: Každý kosmonaut navštívil dvě planety.,item_11_b.mp3,kosmonauti_2.jpg
GROUP_52_3,13,item13_bare_distr,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_1.jpg
GROUP_52_2,13,item13_bare_cumul,Věta: Čarodějové drží dva kouzelné lektvary.,item_12_a.mp3,lektvary_2.jpg
GROUP_52_1,13,item13_univ_distr,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_1.jpg
GROUP_52_0,13,item13_univ_cumul,Věta: Každý čaroděj drží dva lektvary.,item_12_b.mp3,lektvary_2.jpg
GROUP_52_2,14,item14_bare_distr,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_1.jpg
GROUP_52_3,14,item14_bare_cumul,Věta: Sousedé venčí dva pejsky.,item_13_a.mp3,venceni_2.jpg
GROUP_52_0,14,item14_univ_distr,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_1.jpg
GROUP_52_1,14,item14_univ_cumul,Věta: Každý soused venčí dva pejsky.,item_13_b.mp3,venceni_2.jpg
GROUP_52_1,15,item15_bare_distr,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_1.jpg
GROUP_52_0,15,item15_bare_cumul,Věta: Zvířecí kamarádi vidí dva kameny.,item_14_a.mp3,vylet_v_lese_2.jpg
GROUP_52_3,15,item15_univ_distr,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_1.jpg
GROUP_52_2,15,item15_univ_cumul,Věta: Každý zvířecí kamarád vidí dva kameny.,item_14_b.mp3,vylet_v_lese_2.jpg
GROUP_52_0,16,item16_bare_distr,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_1.jpg
GROUP_52_1,16,item16_bare_cumul,Věta: Ženy zalévají dvě květiny.,item_15_a.mp3,zalevani_2.jpg
GROUP_52_2,16,item16_univ_distr,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_1.jpg
GROUP_52_3,16,item16_univ_cumul,Věta: Každá žena zalévá dvě květiny.,item_15_b.mp3,zalevani_2.jpg
GROUP_53_0,1,item1_bare_distr,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_1.jpg
GROUP_53_1,1,item1_bare_cumul,Věta: Děti si koupily dva bonbóny.,item_0_a.mp3,bonbony_2.jpg
GROUP_53_2,1,item1_univ_distr,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_1.jpg
GROUP_53_3,1,item1_univ_cumul,Věta: Každé dítě si koupilo dva bonbóny.,item_0_b.mp3,bonbony_2.jpg
GROUP_53_3,2,item2_bare_distr,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_1.jpg
GROUP_53_2,2,item2_bare_cumul,Věta: Děti dostaly dva dárky.,item_1_a.mp3,darky_2.jpg
GROUP_53_1,2,item2_univ_distr,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_1.jpg
GROUP_53_0,2,item2_univ_cumul,Věta: Každé dítě dostalo dva dárky.,item_1_b.mp3,darky_2.jpg
GROUP_53_1,3,item3_bare_distr,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_1.jpg
GROUP_53_0,3,item3_bare_cumul,Věta: Draci unesli dvě princezny.,item_2_a.mp3,draci_2.jpg
GROUP_53_3,3,item3_univ_distr,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_1.jpg
GROUP_53_2,3,item3_univ_cumul,Věta: Každý drak unesl dvě princezny.,item_2_b.mp3,draci_2.jpg
GROUP_53_2,4,item4_bare_distr,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_1.jpg
GROUP_53_3,4,item4_bare_cumul,Věta: Zvířátka si vzala dvě jablíčka.,item_3_a.mp3,jezek_medved_2.jpg
GROUP_53_0,4,item4_univ_distr,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_1.jpg
GROUP_53_1,4,item4_univ_cumul,Věta: Každé zvíře si vzalo dvě jablíčka.,item_3_b.mp3,jezek_medved_2.jpg
GROUP_53_3,5,item5_bare_distr,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_1.jpg
GROUP_53_2,5,item5_bare_cumul,Věta: Dívky upekly dva koláče.,item_4_a.mp3,kolace_2.jpg
GROUP_53_0,5,item5_univ_distr,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_1.jpg
GROUP_53_1,5,item5_univ_cumul,Věta: Každá dívka upekla dva koláče.,item_4_b.mp3,kolace_2.jpg
GROUP_53_2,6,item6_bare_distr,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_1.jpg
GROUP_53_3,6,item6_bare_cumul,Věta: Včeličky nasbíraly dva kbelíčky plné medu.,item_5_a.mp3,vcely_med_2.jpg
GROUP_53_1,6,item6_univ_distr,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_1.jpg
GROUP_53_0,6,item6_univ_cumul,Věta: Každá včelička nasbírala dva kbelíčky plné medu.,item_5_b.mp3,vcely_med_2.jpg
GROUP_53_1,7,item7_bare_distr,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_1.jpg
GROUP_53_0,7,item7_bare_cumul,Věta: Děti nabízely dvě limonády.,item_6_a.mp3,limonady_2.jpg
GROUP_53_3,7,item7_univ_distr,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_1.jpg
GROUP_53_2,7,item7_univ_cumul,Věta: Každé dítě nabízelo dvě limonády.,item_6_b.mp3,limonady_2.jpg
GROUP_53_0,8,item8_bare_distr,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_1.jpg
GROUP_53_1,8,item8_bare_cumul,Věta: Ponožkožrouti vzali dvě ponožky.,item_7_a.mp3,ponozky_2.jpg
GROUP_53_2,8,item8_univ_distr,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_1.jpg
GROUP_53_3,8,item8_univ_cumul,Věta: Každý ponožkožrout vzal dvě ponožky.,item_7_b.mp3,ponozky_2.jpg
GROUP_53_3,9,item9_bare_distr,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_1.jpg
GROUP_53_2,9,item9_bare_cumul,Věta: Piráti uloupili dvě truhlice plné zlata.,item_8_a.mp3,pirati_2.jpg
GROUP_53_1,9,item9_univ_distr,Věta: Každý pirát uloupil dvě truhlice plné zlata.,item_8_b.mp3,pirati_1.jpg
